,InstituteId,Institution, City
239,E035,"Anjuman Engineering College  Bhatkala, Uttar kannada Dist [E035]","Anjumanabad, Bhatkal, Uttara Kannada"
240,E035,"Anjuman Engineering College  Bhatkala, Uttar kannada Dist [E035]","Anjumanabad, Bhatkal, Uttara Kannada"
241,E036,KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.)  Belgaum [E036],"Udyambag, Belgaum"
242,E036,KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.)  Belgaum [E036],"Udyambag, Belgaum"
243,E036,KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.)  Belgaum [E036],"Udyambag, Belgaum"
244,E036,KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.)  Belgaum [E036],"Udyambag, Belgaum"
245,E036,KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.)  Belgaum [E036],"Udyambag, Belgaum"
246,E036,KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.)  Belgaum [E036],"Udyambag, Belgaum"
247,E036,KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.)  Belgaum [E036],"Udyambag, Belgaum"
248,E036,KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.)  Belgaum [E036],"Udyambag, Belgaum"
249,E037,K.L.S. Gogte Institute of Technology  Belgaum [E037],"Udyambag, Belgaum"
250,E037,K.L.S. Gogte Institute of Technology  Belgaum [E037],"Udyambag, Belgaum"
251,E037,K.L.S. Gogte Institute of Technology  Belgaum [E037],"Udyambag, Belgaum"
252,E037,K.L.S. Gogte Institute of Technology  Belgaum [E037],"Udyambag, Belgaum"
253,E037,K.L.S. Gogte Institute of Technology  Belgaum [E037],"Udyambag, Belgaum"
254,E037,K.L.S. Gogte Institute of Technology  Belgaum [E037],"Udyambag, Belgaum"
255,E037,K.L.S. Gogte Institute of Technology  Belgaum [E037],"Udyambag, Belgaum"
256,E038,B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech.  vijayapur [E038],"Adarsh Nagar, Bijapur"
257,E038,B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech.  vijayapur [E038],"Adarsh Nagar, Bijapur"
258,E038,B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech.  vijayapur [E038],"Adarsh Nagar, Bijapur"
259,E038,B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech.  vijayapur [E038],"Adarsh Nagar, Bijapur"
260,E038,B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech.  vijayapur [E038],"Adarsh Nagar, Bijapur"
261,E038,B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech.  vijayapur [E038],"Adarsh Nagar, Bijapur"
262,E038,B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech.  vijayapur [E038],"Adarsh Nagar, Bijapur"
263,E038,B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech.  vijayapur [E038],"Adarsh Nagar, Bijapur"
264,E040,"Hira Sugar Institute of Technology  Belagavi District, [E040]","Nidasoshi, Belgaum"
265,E040,"Hira Sugar Institute of Technology  Belagavi District, [E040]","Nidasoshi, Belgaum"
266,E040,"Hira Sugar Institute of Technology  Belagavi District, [E040]","Nidasoshi, Belgaum"
267,E040,"Hira Sugar Institute of Technology  Belagavi District, [E040]","Nidasoshi, Belgaum"
268,E040,"Hira Sugar Institute of Technology  Belagavi District, [E040]","Nidasoshi, Belgaum"
269,E041,P D A College of Engineering  Gulbarga [E041],"Shambhognlli, Gulbarga"
270,E041,P D A College of Engineering  Gulbarga [E041],"Shambhognlli, Gulbarga"
271,E041,P D A College of Engineering  Gulbarga [E041],"Shambhognlli, Gulbarga"
272,E041,P D A College of Engineering  Gulbarga [E041],"Shambhognlli, Gulbarga"
273,E041,P D A College of Engineering  Gulbarga [E041],"Shambhognlli, Gulbarga"
274,E042,Khaja Banda Nawaz University  Kalburgi [E042],"KBN University Street, Khaja Colony, Gulbarga"
275,E042,Khaja Banda Nawaz University  Kalburgi [E042],"KBN University Street, Khaja Colony, Gulbarga"
276,E042,Khaja Banda Nawaz University  Kalburgi [E042],"KBN University Street, Khaja Colony, Gulbarga"
277,E042,Khaja Banda Nawaz University  Kalburgi [E042],"KBN University Street, Khaja Colony, Gulbarga"
278,E042,Khaja Banda Nawaz University  Kalburgi [E042],"KBN University Street, Khaja Colony, Gulbarga"
279,E043,Gurunanak Dev Engineering College  Bidar [E043],"Mailoor, Bidar"
280,E043,Gurunanak Dev Engineering College  Bidar [E043],"Mailoor, Bidar"
281,E043,Gurunanak Dev Engineering College  Bidar [E043],"Mailoor, Bidar"
282,E043,Gurunanak Dev Engineering College  Bidar [E043],"Mailoor, Bidar"
283,E043,Gurunanak Dev Engineering College  Bidar [E043],"Mailoor, Bidar"
284,E043,Gurunanak Dev Engineering College  Bidar [E043],"Mailoor, Bidar"
285,E043,Gurunanak Dev Engineering College  Bidar [E043],"Mailoor, Bidar"
286,E043,Gurunanak Dev Engineering College  Bidar [E043],"Mailoor, Bidar"
287,E043,Gurunanak Dev Engineering College  Bidar [E043],"Mailoor, Bidar"
