,InstituteId,Institution,Course
182,E021,Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.)  Mysore [E021],Industrial and Production Engineering [IP]
183,E021,Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.)  Mysore [E021],Mechanical Engineering [ME]
184,E021,Sri Jayachamarajendra College of Engineering(Const. of JSS Univ.)  Mysore [E021],Polymer Science and Technology [PT]
185,E022,The National Institute of Engineering(SOUTH CAMPUS)  Mysore [E022],Civil Engineering [CE]
186,E022,The National Institute of Engineering(SOUTH CAMPUS)  Mysore [E022],Electronics and Communication Engineering [EC]
187,E022,The National Institute of Engineering(SOUTH CAMPUS)  Mysore [E022],Mechanical Engineering [ME]
188,E023,P E S College of Engineering  Mandya [E023],Automobile  Engineering [AU]
189,E023,P E S College of Engineering  Mandya [E023],Civil Engineering [CE]
191,E023,P E S College of Engineering  Mandya [E023],Electrical And Electronics Engineering [EE]
190,E023,P E S College of Engineering  Mandya [E023],Electronics and Communication Engineering [EC]
192,E023,P E S College of Engineering  Mandya [E023],Industrial and Production Engineering [IP]
193,E023,P E S College of Engineering  Mandya [E023],Mechanical Engineering [ME]
194,E024,Malnad College of Engineering  Hassan [E024],Civil Engineering [CE]
196,E024,Malnad College of Engineering  Hassan [E024],Electrical And Electronics Engineering [EE]
195,E024,Malnad College of Engineering  Hassan [E024],Electronics and Communication Engineering [EC]
197,E024,Malnad College of Engineering  Hassan [E024],Mechanical Engineering [ME]
201,E028,Tontadarya College of Engineering  Gadag [E028],Agriculture Engineering [EA]
199,E028,Tontadarya College of Engineering  Gadag [E028],Civil Engineering [CE]
198,E028,Tontadarya College of Engineering  Gadag [E028],Computer Science and Design [CD]
200,E028,Tontadarya College of Engineering  Gadag [E028],Computers Science And Engineering [CS]
203,E028,Tontadarya College of Engineering  Gadag [E028],Electrical And Electronics Engineering [EE]
202,E028,Tontadarya College of Engineering  Gadag [E028],Electronics and Communication Engineering [EC]
204,E028,Tontadarya College of Engineering  Gadag [E028],Mechanical Engineering [ME]
205,E029,Maratha Mandal Engineering College  Belgaum [E029],Computers Science And Engineering [CS]
206,E029,Maratha Mandal Engineering College  Belgaum [E029],Electronics and Communication Engineering [EC]
207,E029,Maratha Mandal Engineering College  Belgaum [E029],Mechanical Engineering [ME]
208,E029,Maratha Mandal Engineering College  Belgaum [E029],Robotics and Artificial Intelligence [RI]
209,E031,Basaveshwara Engineering College  Bagalkot [E031],Civil Engineering [CE]
210,E031,Basaveshwara Engineering College  Bagalkot [E031],Computers Science And Engineering [CS]
212,E031,Basaveshwara Engineering College  Bagalkot [E031],Electrical And Electronics Engineering [EE]
211,E031,Basaveshwara Engineering College  Bagalkot [E031],Electronics and Communication Engineering [EC]
213,E031,Basaveshwara Engineering College  Bagalkot [E031],Industrial and Production Engineering [IP]
214,E031,Basaveshwara Engineering College  Bagalkot [E031],Mechanical Engineering [ME]
215,E032,R.T.E Socity`s Rural Engineering College  Hulkoti [E032],Civil Engineering [CE]
216,E032,R.T.E Socity`s Rural Engineering College  Hulkoti [E032],Computers Science And Engineering [CS]
217,E032,R.T.E Socity`s Rural Engineering College  Hulkoti [E032],Electronics and Communication Engineering [EC]
218,E032,R.T.E Socity`s Rural Engineering College  Hulkoti [E032],Mechanical Engineering [ME]
219,E032,R.T.E Socity`s Rural Engineering College  Hulkoti [E032],Textile Technology [TX]
220,E033,Sri Taralabalu Jagadguru Institute of Technology.  Ranebennur [E033],Civil Engineering [CE]
221,E033,Sri Taralabalu Jagadguru Institute of Technology.  Ranebennur [E033],Computers Science And Engineering [CS]
223,E033,Sri Taralabalu Jagadguru Institute of Technology.  Ranebennur [E033],Electrical And Electronics Engineering [EE]
222,E033,Sri Taralabalu Jagadguru Institute of Technology.  Ranebennur [E033],Electronics and Communication Engineering [EC]
224,E033,Sri Taralabalu Jagadguru Institute of Technology.  Ranebennur [E033],Information Science and Engineering [IE]
225,E033,Sri Taralabalu Jagadguru Institute of Technology.  Ranebennur [E033],Mechanical Engineering [ME]
226,E034,Sri Dharmasthala Manjunatheswara College of Engineering  Dharwad [E034],Artificial Intelligence and Machine Learning [AI]
228,E034,Sri Dharmasthala Manjunatheswara College of Engineering  Dharwad [E034],Chemical Engineering [CH]
227,E034,Sri Dharmasthala Manjunatheswara College of Engineering  Dharwad [E034],Civil Engineering [CE]
229,E034,Sri Dharmasthala Manjunatheswara College of Engineering  Dharwad [E034],Computers Science And Engineering [CS]
231,E034,Sri Dharmasthala Manjunatheswara College of Engineering  Dharwad [E034],Electrical And Electronics Engineering [EE]
230,E034,Sri Dharmasthala Manjunatheswara College of Engineering  Dharwad [E034],Electronics and Communication Engineering [EC]
232,E034,Sri Dharmasthala Manjunatheswara College of Engineering  Dharwad [E034],Information Science and Engineering [IE]
233,E034,Sri Dharmasthala Manjunatheswara College of Engineering  Dharwad [E034],Mechanical Engineering [ME]
235,E035,"Anjuman Engineering College  Bhatkala, Uttar kannada Dist [E035]",Civil Engineering [CE]
234,E035,"Anjuman Engineering College  Bhatkala, Uttar kannada Dist [E035]","Computer Science Engineering-AI, Machine Learning [CA]"
237,E035,"Anjuman Engineering College  Bhatkala, Uttar kannada Dist [E035]",Computer Science Engineering-Data Sciences [DS]
236,E035,"Anjuman Engineering College  Bhatkala, Uttar kannada Dist [E035]",Computers Science And Engineering [CS]
239,E035,"Anjuman Engineering College  Bhatkala, Uttar kannada Dist [E035]",Electrical And Electronics Engineering [EE]
238,E035,"Anjuman Engineering College  Bhatkala, Uttar kannada Dist [E035]",Electronics and Communication Engineering [EC]
240,E035,"Anjuman Engineering College  Bhatkala, Uttar kannada Dist [E035]",Mechanical Engineering [ME]
241,E036,KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.)  Belgaum [E036],Bio Medical Engineering [BM]
244,E036,KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.)  Belgaum [E036],Chemical Engineering [CH]
242,E036,KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.)  Belgaum [E036],Civil Engineering [CE]
243,E036,KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.)  Belgaum [E036],Computer Science Engineering-Artificial Intel. [CF]
245,E036,KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.)  Belgaum [E036],Computers Science And Engineering [CS]
247,E036,KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.)  Belgaum [E036],Electrical And Electronics Engineering [EE]
246,E036,KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.)  Belgaum [E036],Electronics and Communication Engineering [EC]
248,E036,KLE Technological University(Formerly KLE Dr.MS Sheshagiri Col.)  Belgaum [E036],Mechanical Engineering [ME]
249,E037,K.L.S. Gogte Institute of Technology  Belgaum [E037],Aeronautical Engineering [AE]
250,E037,K.L.S. Gogte Institute of Technology  Belgaum [E037],Civil Engineering [CE]
251,E037,K.L.S. Gogte Institute of Technology  Belgaum [E037],Computers Science And Engineering [CS]
253,E037,K.L.S. Gogte Institute of Technology  Belgaum [E037],Electrical And Electronics Engineering [EE]
252,E037,K.L.S. Gogte Institute of Technology  Belgaum [E037],Electronics and Communication Engineering [EC]
254,E037,K.L.S. Gogte Institute of Technology  Belgaum [E037],Information Science and Engineering [IE]
255,E037,K.L.S. Gogte Institute of Technology  Belgaum [E037],Mechanical Engineering [ME]
257,E038,B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech.  vijayapur [E038],Civil Engineering [CE]
256,E038,B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech.  vijayapur [E038],"Computer Science Engineering-AI, Machine Learning [CA]"
259,E038,B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech.  vijayapur [E038],Computer Science Engineering-Data Sciences [DS]
258,E038,B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech.  vijayapur [E038],Computers Science And Engineering [CS]
261,E038,B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech.  vijayapur [E038],Electrical And Electronics Engineering [EE]
260,E038,B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech.  vijayapur [E038],Electronics and Communication Engineering [EC]
262,E038,B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech.  vijayapur [E038],Information Science and Engineering [IE]
263,E038,B L D E As V.P. Dr. P. G. Hallakatti College of Engg. and Tech.  vijayapur [E038],Mechanical Engineering [ME]
264,E040,"Hira Sugar Institute of Technology  Belagavi District, [E040]",Civil Engineering [CE]
